,Gene Symbol
2507,SOCS2
2508,SQSTM1
2509,SRP72
2511,STAT1
2512,STAT2
2515,SZT2
2516,TACSTD2
2519,TCL1B
2521,TERC
2525,TIGAR
2526,TIPARP
2527,TLE1
2528,TLE2
2529,TLE3
2530,TLE4
2531,TLL2
2532,TMEM30A
2533,TMSB4XP8
2534,TNFRSF11A
2535,TNFSF13
2536,TONSL
2539,TRIB3
2542,TTL
2543,TUSC3
2544,TYRO3
2545,UBA1
2547,UBTF
2548,UCHL1
2549,USP1
2552,WDR90
2553,WEE1
2554,WWP1
2555,XRCC1
2556,YPEL5
2558,YY1
2559,YY1AP1
2562,ZFP36L2
2563,ZNF24
2564,ZNF292
